,subway_board_stop_name,per_weight_wd_trips_rsadj,averageboardings_wkday
150,Jamaica - 179 St,3464.7300000000005,692.9460000000001
151,Jamaica - Van Wyck,181.82,36.364
152,Jamaica Center - Parsons/Archer,11779.589999999998,2355.9179999999997
153,Jay St - MetroTech,793.3399999999999,158.66799999999998
154,Junction Blvd,6.82,1.364
155,Kew Gardens - Union Tpke,11858.189999999995,2371.637999999999
156,Kings Hwy,8009.6500000000015,1601.9300000000003
157,Kingsbridge Rd,2029.0300000000002,405.80600000000004
158,Kingston - Throop Avs,106.39,21.278
159,Knickerbocker Av,43.64,8.728
160,Kosciuszko St,379.03,75.806
161,Lexington Av/59 St,4.69,0.9380000000000001
162,Lexington Av/63 St,695.1,139.02
163,Liberty Av,1334.04,266.808
164,Longwood Av,252.59,50.518
165,Marble Hill - 225 St,860.4100000000001,172.08200000000002
166,Marcy Av,423.36,84.672
167,Metropolitan Av,224.24,44.848
168,Mets - Willets Point,59.47,11.894
169,Middle Village - Metropolitan Av,5.36,1.072
170,Middletown Rd,628.76,125.752
171,Montrose Av,263.34,52.66799999999999
172,Morgan Av,316.23,63.246
173,Morrison Av- Sound View,2264.9999999999995,452.9999999999999
174,Mosholu Pkwy,337.79,67.558
175,Myrtle - Willoughby Avs,2238.1,447.62
176,Myrtle - Wyckoff Avs,2427.83,485.566
177,Myrtle Av,103.27,20.654
178,Nassau Av,21.05,4.21
179,Nereid Av,532.71,106.542
180,Nevins St,246.63,49.326
181,New Dorp,20.56,4.112
182,New Lots Av,5843.68,1168.736
183,Newkirk Av,4318.84,863.768
184,Newkirk Plaza,208.20000000000002,41.64
185,Northern Blvd,2822.4700000000003,564.494
186,Norwood - 205 St,891.9899999999999,178.39799999999997
187,Nostrand Av,1492.39,298.478
188,Ozone Park - Lefferts Blvd,178.39999999999998,35.67999999999999
189,Park Pl,244.05,48.81
190,Parkchester,6712.88,1342.576
191,Parkside Av,2055.48,411.096
192,Parsons Blvd,9339.960000000001,1867.9920000000002
193,Pelham Bay Park,4237.46,847.492
194,Pelham Pkwy,81.51,16.302
195,Pennsylvania Av,1172.6699999999998,234.53399999999996
196,Prince's Bay,647.36,129.472
197,Prospect Park,1350.3,270.06
198,Queens Plaza,479.96,95.99199999999999
199,Queensboro Plaza,2292.6,458.52
200,Ralph Av,213.85,42.769999999999996
201,Rockaway Av,2084.66,416.93199999999996
202,Rockaway Blvd,2439.8299999999995,487.9659999999999
203,Rockaway Park - Beach 116 St,294.15,58.83
204,Roosevelt Island,54.28,10.856
205,Saratoga Av,95.11,19.022
206,Sheepshead Bay,2970.47,594.0939999999999
207,Simpson St,543.64,108.728
208,South Ferry Loop,4407.82,881.564
209,St George,1497.29,299.45799999999997
210,Steinway St,88.99,17.798
211,Sutphin Blvd,592.77,118.554
212,Sutphin Blvd - Archer Av - JFK Airport,5035.51,1007.1020000000001
213,Sutter Av - Rutland Rd,680.62,136.124
214,Times Sq - 42 St,1448.6699999999998,289.734
215,Tremont Av,1315.73,263.146
216,Union Sq - 14 St,278.63,55.726
217,Utica Av,845.13,169.026
218,Van Cortlandt Park - 242 St,28.32,5.664
219,Van Siclen Av,200.82,40.164
220,Vernon Blvd - Jackson Av,803.84,160.768
221,W 4 St,1272.1399999999999,254.42799999999997
222,W 8 St - NY Aquarium,135.59,27.118000000000002
223,Wakefield - 241 St,279.6,55.92
224,Wall St,340.28999999999996,68.05799999999999
225,West Farms Sq - E Tremont Av,4566.52,913.3040000000001
226,Westchester Sq - E Tremont Av,1560.16,312.03200000000004
227,Whitehall St,318.68999999999994,63.737999999999985
228,Winthrop St,120.32,24.064
229,Woodhaven Blvd,724.1100000000001,144.82200000000003
230,Woodlawn,197.83,39.566
231,Woodside - 61 St,184.34,36.868
232,World Trade Center,38.47,7.694
233,York St,515.1800000000001,103.03600000000002
234,Zerega Av,57.41,11.482
